Instance, TimeLimit, Solver, Objective Value
hanoi5.mps, 10, SCIP, N/A
hanoi5.mps, 10, gurobi(exact), N/A
hanoi5.mps, 10, gurobi(heur), N/A
hanoi5.mps, 10, FJ, N/A
hanoi5.mps, 10, highs, N/A
hanoi5.mps, 10, cplex, N/A
hanoi5.mps, 10, Local-ILP, N/A
highschool1-aigio.mps, 10, SCIP, N/A
highschool1-aigio.mps, 10, gurobi(exact), N/A
highschool1-aigio.mps, 10, gurobi(heur), N/A
highschool1-aigio.mps, 10, FJ, N/A
highschool1-aigio.mps, 10, highs, N/A
highschool1-aigio.mps, 10, cplex, N/A
highschool1-aigio.mps, 10, Local-ILP, N/A
ivu06-big.mps, 10, SCIP, N/A
ivu06-big.mps, 10, gurobi(exact), 9416.0
ivu06-big.mps, 10, gurobi(heur), 9416.0
ivu06-big.mps, 10, FJ, N/A
ivu06-big.mps, 10, highs, N/A
ivu06-big.mps, 10, cplex, 206.32833464
ivu06-big.mps, 10, Local-ILP, N/A
ivu06.mps, 10, SCIP, N/A
ivu06.mps, 10, gurobi(exact), 9416.0
ivu06.mps, 10, gurobi(heur), 9416.0
ivu06.mps, 10, FJ, 788.68967
ivu06.mps, 10, highs, N/A
ivu06.mps, 10, cplex, 221.74666896
ivu06.mps, 10, Local-ILP, 571.0360040959999
ivu59.mps, 10, SCIP, N/A
ivu59.mps, 10, gurobi(exact), 27488.0
ivu59.mps, 10, gurobi(heur), 27488.0
ivu59.mps, 10, FJ, N/A
ivu59.mps, 10, highs, N/A
ivu59.mps, 10, cplex, 3035.4194069
ivu59.mps, 10, Local-ILP, N/A
kosova1.mps, 10, SCIP, N/A
kosova1.mps, 10, gurobi(exact), N/A
kosova1.mps, 10, gurobi(heur), N/A
kosova1.mps, 10, FJ, N/A
kosova1.mps, 10, highs, N/A
kosova1.mps, 10, cplex, N/A
kosova1.mps, 10, Local-ILP, N/A
kottenpark09.mps, 10, SCIP, N/A
kottenpark09.mps, 10, gurobi(exact), N/A
kottenpark09.mps, 10, gurobi(heur), N/A
kottenpark09.mps, 10, FJ, N/A
kottenpark09.mps, 10, highs, N/A
kottenpark09.mps, 10, cplex, N/A
kottenpark09.mps, 10, Local-ILP, N/A
lectsched-1-obj.mps, 10, SCIP, N/A
lectsched-1-obj.mps, 10, gurobi(exact), N/A
lectsched-1-obj.mps, 10, gurobi(heur), N/A
lectsched-1-obj.mps, 10, FJ, N/A
lectsched-1-obj.mps, 10, highs, N/A
lectsched-1-obj.mps, 10, cplex, N/A
lectsched-1-obj.mps, 10, Local-ILP, 202.0
methanosarcina.mps, 10, SCIP, 3122.0
methanosarcina.mps, 10, gurobi(exact), 2916.0
methanosarcina.mps, 10, gurobi(heur), 2916.0
methanosarcina.mps, 10, FJ, 2919.0
methanosarcina.mps, 10, highs, 3609.0
methanosarcina.mps, 10, cplex, 3510.0
methanosarcina.mps, 10, Local-ILP, 2861.0
neos-2974461-ibar.mps, 10, SCIP, N/A
